bQ,structTrue_exp,structTrue_pred,structFalse_exp,structFalse_pred,prog_structTrue_exp,prog_structTrue_pred,prog_structFalse_exp,prog_structFalse_pred
48,0.010000,0.000282,0.000000,0.000000,0.092000,0.025867,0.000000,0.000099
49,,,,0.000000,,,0.000000,0.000210
50,0.000000,0.001386,0.000000,0.000000,0.192000,0.070042,0.000000,0.000430
51,,,,0.000000,,,0.004000,0.000856
52,0.000000,0.006210,0.000000,0.000000,0.324000,0.162021,0.012000,0.001671
53,,,,0.000000,,,0.028000,0.003200
54,0.030000,0.024437,0.000000,0.000000,0.464000,0.319859,0.044000,0.006021
55,,,,0.000000,,,0.064000,0.011115
56,0.130000,0.081058,0.000000,0.000000,0.644000,0.533586,0.084000,0.020087
57,,,,0.000000,,,0.136000,0.035394
58,0.250000,0.216504,0.000000,0.000000,0.808000,0.750323,0.192000,0.060497
59,,,,0.000001,,,0.280000,0.099704
60,0.310000,0.448546,0.000000,0.000003,0.932000,0.904922,0.360000,0.157455
61,,,,0.000011,,,0.460000,0.236930
62,0.710000,0.714175,0.000000,0.000038,0.992000,0.977087,0.580000,0.338273
63,,,,0.000125,,,0.664000,0.457067
64,0.800000,0.903728,0.000000,0.000393,1.000000,0.996842,0.760000,0.583976
65,,,,0.001155,,,0.836000,0.706340
66,0.940000,0.981851,0.010000,0.003169,1.000000,0.999345,0.888000,0.811794
67,,,,0.008080,,,0.924000,0.892207
68,0.980000,0.998500,0.030000,0.019043,1.000000,0.999419,0.952000,0.945852
69,,,,0.041334,,,0.968000,0.976683
70,1.000000,0.999973,0.150000,0.082339,1.000000,1.000000,0.972000,0.991579
71,,,,0.150107,,,0.972000,0.997384
72,1.000000,1.000009,0.370000,0.249988,1.000000,1.000000,0.972000,0.999086
73,,,,0.380253,,,0.972000,0.999417
74,1.000000,1.000009,0.560000,0.529348,1.000000,1.000000,0.972000,0.999447
75,,,,0.677745,,,0.972000,0.999447
76,1.000000,1.000009,0.860000,0.804890,1.000000,1.000000,0.972000,1.000000
77,,,,0.897623,,,0.972000,1.000000
78,1.000000,1.000009,0.960000,0.954475,1.000000,1.000000,0.972000,1.000000
79,,,,0.983307,,,0.972000,1.000000
80,1.000000,1.000009,0.989796,0.995135,1.000000,1.000000,0.972000,1.000000
