bQ,structTrue_exp,structTrue_pred,structFalse_exp,structFalse_pred
42,0.000000,0.003848,0.000000,0.000000
43,,,,0.000000
44,,,,0.000000
45,,,,0.000000
46,,,,0.000000
47,,,,0.000000
48,0.230000,0.108203,0.000000,0.000000
49,,,,0.000000
50,,,,0.000000
51,,,,0.000000
52,,,,0.000001
53,,,,0.000003
54,0.730000,0.763593,0.000000,0.000010
55,,,,0.000035
56,,,,0.000113
57,,,,0.000350
58,,,,0.001032
59,,,,0.002865
60,1.000000,0.999433,0.040000,0.007435
61,,,,0.017921
62,,,,0.039872
63,,,,0.081401
64,,,,0.151737
65,,,,0.257235
66,1.000000,1.000000,0.480000,0.395849
67,,,,0.553536
68,,,,0.706929
69,,,,0.832899
70,,,,0.919058
71,,,,0.967476
72,1.000000,1.000000,0.990000,0.989476
