i,mGSA,pred,exp
0,1.5899800015725183,1.5311909491327416,1.470354
1,1.4226136856175164,1.3710280571521491,1.310332
2,1.2552473696625144,1.2109514440467486,1.174226
3,1.0878810537075125,1.0505810984132968,1.041488
4,0.9205147377525106,0.8894174265090176,0.902024
5,0.7531484217975086,0.7268132669608144,0.733924
6,0.5857821058425068,0.5671221020022038,0.56919
7,0.4184157898875047,0.40854116496730075,0.41848
8,0.2510494739325029,0.24988781335893484,0.272292
9,0.08368315797750103,0.0904151524462631,0.082528
10,-0.08368315797750103,-0.07201132082545668,-0.068248
11,-0.2510494739325029,-0.23872827657470386,-0.218168
12,-0.4184157898875047,-0.4114158495859007,-0.4031
13,-0.5857821058425068,-0.5507160524173623,-0.527092
14,-0.7531484217975088,-0.7015253939863133,-0.694178
15,-0.9205147377525105,-0.8606856476089186,-0.844598
16,-1.0878810537075125,-1.0258934736517313,-0.993372
17,-1.2552473696625146,-1.2089966334367872,-1.17005
18,-1.4226136856175162,-1.405746966528727,-1.405346
19,-1.5899800015725183,-1.6202288603735713,-1.650686
